name           old time/op    new time/op     delta
Spooky1K-4      881MB/s ± 3%   2629MB/s ± 1%  +198.31%  (p=0.000 n=27+26)
Spooky8K-4     1.02GB/s ± 2%   3.09GB/s ± 1%  +203.66%  (p=0.000 n=29+28)
Siphash8-4      339MB/s ± 0%    356MB/s ± 0%    +4.93%  (p=0.000 n=29+29)
Siphash16-4     581MB/s ± 1%    608MB/s ± 1%    +4.63%  (p=0.000 n=28+30)
Siphash40-4    1.00GB/s ± 0%   1.02GB/s ± 1%    +2.72%  (p=0.000 n=28+29)
Siphash64-4    1.22GB/s ± 0%   1.23GB/s ± 1%    +1.04%  (p=0.000 n=29+30)
Siphash1K-4    1.86GB/s ± 1%   1.85GB/s ± 2%    -0.95%  (p=0.000 n=30+27)
Siphash8K-4    1.94GB/s ± 2%   1.93GB/s ± 2%    -0.40%  (p=0.036 n=30+27)
Farm8-4         297MB/s ± 1%    463MB/s ± 1%   +55.70%  (p=0.000 n=29+30)
Farm16-4        596MB/s ± 1%    927MB/s ± 0%   +55.51%  (p=0.000 n=28+28)
Farm40-4        630MB/s ± 0%   1225MB/s ± 1%   +94.44%  (p=0.000 n=27+28)
Farm64-4       1.01GB/s ± 1%   1.96GB/s ± 1%   +94.70%  (p=0.000 n=26+28)
Farm1K-4       1.00GB/s ± 3%   5.39GB/s ± 2%  +436.64%  (p=0.000 n=29+29)
Farm8K-4       1.13GB/s ± 1%   6.84GB/s ± 1%  +503.15%  (p=0.000 n=26+25)
CFarmhash8-4   36.7MB/s ± 1%   39.4MB/s ± 1%    +7.12%  (p=0.000 n=30+28)
CFarmhash16-4  74.1MB/s ± 1%   78.6MB/s ± 1%    +6.16%  (p=0.000 n=29+30)
CFarmhash40-4   192MB/s ± 0%    190MB/s ± 1%    -0.95%  (p=0.000 n=24+27)
CFarmhash64-4   296MB/s ± 3%    304MB/s ± 1%    +2.84%  (p=0.000 n=30+30)
CFarmhash1K-4  3.45GB/s ± 2%   3.43GB/s ± 1%    -0.54%  (p=0.000 n=26+30)
CFarmhash8K-4  9.02GB/s ± 1%   9.00GB/s ± 1%    -0.22%  (p=0.004 n=27+28)
City8-4         330MB/s ± 1%    562MB/s ± 2%   +70.32%  (p=0.000 n=29+29)
City16-4        660MB/s ± 2%   1128MB/s ± 1%   +70.84%  (p=0.000 n=27+27)
City40-4        605MB/s ± 1%   1238MB/s ± 0%  +104.64%  (p=0.000 n=28+29)
